Interaction,Feynman Diagram,Amplitude,Squared Amplitude
tt alpha (X)^(*) rho (X) to tt beta (X) AntiPart rho (X),"Vertex V_0:tt(X_3), A(X_4), AntiPart  OffShell tt(V_0), Vertex V_1:tt(X_1), A(X_2),  OffShell tt(V_1),",/ * * * NEG 4/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt_del_3720_pu tt s_pu_star * * * * 1/2 p_lor_2 gamma_lor_spi gamma_lor_spi_del gamma * lor_2 s s_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt_del_3722_pu tt s_pu_star + s * 1/2 reg_prop,+ * * * * 32/81 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 64/81 i ^ e_2 + / * * * i ^ e_2 ^ m_tt_2 + ^ m_tt_2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ m_tt_2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop
tt alpha (X)^(*) AntiPart rho (X) to tt beta (X) AntiPart sigma (X),"Vertex V_0:tt(X_3), A(X_4), AntiPart  OffShell tt(V_0), Vertex V_1:tt(X_1), A(X_2),  OffShell tt(V_1),",/ * * * NEG 4/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt_del_4001_pu tt s_pu_star * * 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_del_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt_del_4003_pu tt s_pu_star + s * 1/2 reg_prop,+ * * * * 32/81 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 64/81 i ^ e_2 + / * * * i ^ e_2 ^ m_tt_2 + ^ m_tt_2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ m_tt_2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop
tt alpha (X)^(*) AntiPart rho (X) to tt beta (X) AntiPart sigma (X),"Vertex V_0:A(X_2), tt(X_3), AntiPart  OffShell tt(V_0), Vertex V_1:tt(X_1), A(X_4),  OffShell tt(V_1),",/ * * * 4/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt_del_4036_pu tt s_pu_star * * * * NEG 1/2 p_lor_2 gamma_lor_spi gamma_lor_spi_del gamma * lor_2 s s_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt_del_4038_pu tt s_pu_star + s * NEG 1/2 reg_prop,+ * * * * 32/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 64/81 i ^ e_2 + / * * * i ^ e_2 ^ m_tt_2 + ^ m_tt_2 * NEG 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ m_tt_2 + * 16 s_s * NEG 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
AntiPart tt del (X) nu (X) to AntiPart tt eps (X)^(*) rho (X),"Vertex V_0:AntiPart tt(X_1), A(X_4), AntiPart  OffShell tt(V_0), Vertex V_1:A(X_2), AntiPart tt(X_3),  OffShell tt(V_1),",/ * * * NEG 4/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt s_pv_star tt s_pv * * * * NEG 1/2 p_lor_2 gamma_lor_spi gamma_lor_spi gamma * lor_2 s s_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt s_pv_star tt s_pv + s * NEG 1/2 reg_prop,+ * * * * 32/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 64/81 i ^ e_2 + / * * * i ^ e_2 ^ m_tt_2 + ^ m_tt_2 * NEG 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ m_tt_2 + * 16 s_s * NEG 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
AntiPart tt del (X) nu (X) to AntiPart tt eps (X)^(*) rho (X),"Vertex V_1:AntiPart tt(X_3), A(X_4),  OffShell tt(V_1), Vertex V_0:A(X_2), AntiPart tt(X_1), AntiPart  OffShell tt(V_0),",/ * * * 4/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt s_pv_star tt s_pv * * 1/2 p lambda gamma * * * lambda s s gamma_lor_spi gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt s_pv_star tt s_pv + s * 1/2 reg_prop,+ * * * * 32/81 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 64/81 i ^ e_2 + / * * * i ^ e_2 ^ m_tt_2 + ^ m_tt_2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ m_tt_2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop
AntiPart tt del (X) nu (X) to AntiPart tt eps (X)^(*) AntiPart nu (X),"Vertex V_1:AntiPart tt(X_3), A(X_4),  OffShell tt(V_1), Vertex V_0:A(X_2), AntiPart tt(X_1), AntiPart  OffShell tt(V_0),",/ * * * 4/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt s_pv_star tt s_pv * * * * 1/2 p_lor_2 gamma_lor_spi gamma_lor_spi gamma * lor_2 s s_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt s_pv_star tt s_pv + s * 1/2 reg_prop,+ * * * * 32/81 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 64/81 i ^ e_2 + / * * * i ^ e_2 ^ m_tt_2 + ^ m_tt_2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ m_tt_2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop
AntiPart tt del (X) nu (X) to AntiPart tt eps (X)^(*) AntiPart nu (X),"Vertex V_0:AntiPart tt(X_1), A(X_4), AntiPart  OffShell tt(V_0), Vertex V_1:A(X_2), AntiPart tt(X_3),  OffShell tt(V_1),",/ * * * NEG 4/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt s_pv_star tt s_pv * * NEG 1/2 p lambda gamma * * * lambda s s gamma_lor_spi gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt s_pv_star tt s_pv + s * NEG 1/2 reg_prop,+ * * * * 32/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 64/81 i ^ e_2 + / * * * i ^ e_2 ^ m_tt_2 + ^ m_tt_2 * NEG 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ m_tt_2 + * 16 s_s * NEG 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
AntiPart tt del (X) AntiPart tau (X) to AntiPart tt alpha (X)^(*) AntiPart mu (X),"Vertex V_1:AntiPart tt(X_1), A(X_4), AntiPart  OffShell tt(V_1), Vertex V_0:A(X_2), AntiPart tt(X_3),  OffShell tt(V_0),",/ * * * NEG 4/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt_del_4617_pv tt s_pv_star * * * * NEG 1/2 p_lor_2 gamma_lor_spi_del gamma_lor_spi gamma * lor_2 s s_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt_del_4619_pv tt s_pv_star + s * NEG 1/2 reg_prop,+ * * * * 32/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 64/81 i ^ e_2 + / * * * i ^ e_2 ^ m_tt_2 + ^ m_tt_2 * NEG 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ m_tt_2 + * 16 s_s * NEG 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
AntiPart tt del (X) AntiPart tau (X) to AntiPart tt alpha (X)^(*) AntiPart mu (X),"Vertex V_0:AntiPart tt(X_3), A(X_4),  OffShell tt(V_0), Vertex V_1:A(X_2), AntiPart tt(X_1), AntiPart  OffShell tt(V_1),",/ * * * 4/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt_del_4654_pv tt s_pv_star * * 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi_del gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt_del_4656_pv tt s_pv_star + s * 1/2 reg_prop,+ * * * * 32/81 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 64/81 i ^ e_2 + / * * * i ^ e_2 ^ m_tt_2 + ^ m_tt_2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ m_tt_2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop
d eps (X)^(*) AntiPart d eta (X) to e alpha (X) AntiPart e beta (X)^(*),"Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart d(X_2),  OffShell A(V_1),",+ * * * NEG 1/6 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi d_spi_1_pu d_spi_0_pv_star e_spi_2_pu_star e_spi_3_pv + + mass_d_sq s * 1/2 reg_prop,* * * 1/36 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2
d alpha (X)^(*) AntiPart d beta (X) to mu gam (X) AntiPart mu del (X)^(*),"Vertex V_0:mu(X_3), AntiPart mu(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart d(X_2),  OffShell A(V_1),",+ * * * NEG 1/6 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi d_spi_2_pv_star d_spi_3_pu mu_spi_1_pv mu_spi_0_pu_star + + mass_d_sq s * 1/2 reg_prop,* * * 1/36 ^ e_4 + + + + * * 16 ^ 2 ^ m_mu_2 * * 8 ^ m_mu_2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2
d gam (X)^(*) AntiPart d del (X) to t eps (X) AntiPart t eta (X)^(*),"Vertex V_0:t(X_3), AntiPart t(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart d(X_2),  OffShell A(V_1),",+ * * * * NEG 1/6 i ^ e_2 gamma_lor_spi_del gamma / * * * * lor_0 s s d_spi_1_pu d_spi_0_pv_star t_spi_2_pu_star t_del_258_pv + + mass_d_sq s * 1/2 reg_prop,* * * 1/36 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2
d alpha (X)^(*) AntiPart d beta (X) to u gam (X) AntiPart u del (X)^(*),"Vertex V_0:u(X_3), AntiPart u(X_4),  OffShell A(V_0), Vertex V_1:d(X_1), AntiPart d(X_2),  OffShell A(V_1),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi d_spi_2_pu d_spi_3_pv_star u_spi_0_pu_star u_spi_1_pv + + mass_d_sq s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2
d gam (X)^(*) AntiPart d del (X) to s eps (X) AntiPart s eta (X)^(*),"Vertex V_1:s(X_3), AntiPart s(X_4),  OffShell A(V_1), Vertex V_0:d(X_1), AntiPart d(X_2),  OffShell A(V_0),",+ * * * * NEG 1/18 i ^ e_2 gamma_lor_spi b_spi gamma / * * * * lor_0 s s d_spi_0_pv_star d_spi_1_pu s s_star + + mass_d_sq s * 1/2 reg_prop,* * * 1/324 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2
d gam (X)^(*) AntiPart d del (X) to tt eps (X) AntiPart tt eta (X)^(*),"Vertex V_1:tt(X_3), AntiPart tt(X_4),  OffShell A(V_1), Vertex V_0:d(X_1), AntiPart d(X_2),  OffShell A(V_0),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi_del d_spi_0_pv_star d_spi_1_pu tt_del_411_pv tt s_pu_star + + mass_d_sq s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ m_tt_2 * * 8 ^ m_tt_2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2
d eps (X)^(*) AntiPart d eta (X) to c alpha (X) AntiPart c beta (X)^(*),"Vertex V_1:c(X_3), AntiPart c(X_4),  OffShell A(V_1), Vertex V_0:d(X_1), AntiPart d(X_2),  OffShell A(V_0),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s_del_461 gamma_lor_spi_del c_del_461_pv c_spi_0_pu_star d_del_462_pu d_spi_1_pv_star + + mass_d_sq s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2
d gam (X)^(*) AntiPart d del (X) to b eps (X) AntiPart b eta (X)^(*),"Vertex V_1:b(X_3), AntiPart b(X_4),  OffShell A(V_1), Vertex V_0:d(X_1), AntiPart d(X_2),  OffShell A(V_0),",+ * * * NEG 1/18 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi_del b_del_522_pv b_spi_2_pu_star d_spi_0_pv_star d_spi_1_pu + + mass_d_sq s * 1/2 reg_prop,* * * 1/324 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2
d eps (X)^(*) AntiPart d eta (X) to sigma (X) AntiPart lambda (X),"Vertex V_0:AntiPart d(X_2), A(X_4), AntiPart  OffShell d(V_0), Vertex V_1:d(X_1), A(X_3),  OffShell d(V_1),",/ * * * NEG 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * ^ lor_1 p * d_spi_0_pv_star d_spi_1_pu * * * NEG 1/2 p_lor_2 gamma_lor_spi gamma * * lor_2 s s gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * ^ lor_1 p * d_spi_4_pv_star d_spi_5_pu + s * NEG 1/2 reg_prop,+ * * * * 1/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * 2/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ 2 + s_s * 2 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
d eps (X)^(*) AntiPart d eta (X) to sigma (X) AntiPart lambda (X),"Vertex V_0:AntiPart d(X_2), A(X_3), AntiPart  OffShell d(V_0), Vertex V_1:d(X_1), A(X_4),  OffShell d(V_1),",/ * * * 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * ^ lor_1 p * d_spi_0_pv_star d_spi_1_pu * * NEG 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * ^ lor_1 p * d_spi_4_pv_star d_spi_5_pu + s * NEG 1/2 reg_prop,+ * * * * 1/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * 2/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ 2 + * 16 s_s * 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
d alpha (X)^(*) s beta (X)^(*) to d gam (X) s del (X),"Vertex V_1:s(X_2), s(X_4),  OffShell A(V_1), Vertex V_0:d(X_1), d(X_3),  OffShell A(V_0),",+ * * * * NEG 1/18 i ^ e_2 gamma_lor_spi_del gamma / * * * * lor_0 s s d_spi_0_pu_star d_spi_1_pu s_del_1302_pu s_star + + mass_d_sq NEG s * 1/2 reg_prop,* * * 1/324 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2
d alpha (X)^(*) AntiPart s eps (X) to d eta (X) AntiPart s alpha (X)^(*),"Vertex V_1:AntiPart s(X_2), AntiPart s(X_4),  OffShell A(V_1), Vertex V_0:d(X_1), d(X_3),  OffShell A(V_0),",+ * * * * NEG 1/18 i ^ e_2 gamma_lor_spi_del gamma / * * * * lor_0 s_del_1342 d_del_1342_pu d_spi_0_pu_star s_star s_del_1341_pv + + mass_d_sq NEG s * 1/2 reg_prop,* * * 1/324 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2
AntiPart d eps (X) s eta (X)^(*) to AntiPart d alpha (X)^(*) s beta (X),"Vertex V_1:s(X_2), s(X_4),  OffShell A(V_1), Vertex V_0:AntiPart d(X_1), AntiPart d(X_3),  OffShell A(V_0),",+ * * * * NEG 1/18 i ^ e_2 gamma_lor_spi b_spi gamma / * * * * lor_0 s s d_spi_1_pv d_spi_0_pv_star s s_star + + mass_d_sq NEG s * 1/2 reg_prop,* * * 1/324 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2
AntiPart d eps (X) AntiPart s eps (X) to AntiPart d eta (X)^(*) AntiPart s alpha (X)^(*),"Vertex V_1:AntiPart s(X_2), AntiPart s(X_4),  OffShell A(V_1), Vertex V_0:AntiPart d(X_1), AntiPart d(X_3),  OffShell A(V_0),",+ * * * * NEG 1/18 i ^ e_2 gamma_lor_spi_del gamma / * * * * lor_0 s s d_spi_1_pv d_spi_0_pv_star s_del_1403_pv s_star + + mass_d_sq NEG s * 1/2 reg_prop,* * * 1/324 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2
d alpha (X)^(*) tt beta (X)^(*) to d gam (X) tt del (X),"Vertex V_1:tt(X_2), tt(X_4),  OffShell A(V_1), Vertex V_0:d(X_1), d(X_3),  OffShell A(V_0),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi_del d_spi_0_pu_star d_spi_1_pu tt s_pu_star tt_del_2310_pu + + mass_d_sq NEG s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ m_tt_2 * * NEG 8 ^ m_tt_2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2
d alpha (X)^(*) AntiPart tt eps (X) to d eta (X) AntiPart tt alpha (X)^(*),"Vertex V_1:AntiPart tt(X_2), AntiPart tt(X_4),  OffShell A(V_1), Vertex V_0:d(X_1), d(X_3),  OffShell A(V_0),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s_del_2355 gamma_lor_spi_del d_spi_0_pu_star d_del_2355_pu tt s_pv_star tt_del_2356_pv + + mass_d_sq NEG s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ m_tt_2 * * NEG 8 ^ m_tt_2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2
AntiPart d eps (X) tt eta (X)^(*) to AntiPart d alpha (X)^(*) tt beta (X),"Vertex V_1:tt(X_2), tt(X_4),  OffShell A(V_1), Vertex V_0:AntiPart d(X_1), AntiPart d(X_3),  OffShell A(V_0),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi_del d_spi_0_pv_star d_spi_1_pv tt s_pu_star tt_del_2409_pu + + mass_d_sq NEG s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ m_tt_2 * * NEG 8 ^ m_tt_2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2
AntiPart d eps (X) AntiPart tt eps (X) to AntiPart d eta (X)^(*) AntiPart tt alpha (X)^(*),"Vertex V_1:AntiPart tt(X_2), AntiPart tt(X_4),  OffShell A(V_1), Vertex V_0:AntiPart d(X_1), AntiPart d(X_3),  OffShell A(V_0),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi_del d_spi_0_pv_star d_spi_1_pv tt_del_2448_pv tt s_pv_star + + mass_d_sq NEG s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ m_tt_2 * * NEG 8 ^ m_tt_2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2
d alpha (X)^(*) c beta (X)^(*) to d gam (X) c del (X),"Vertex V_1:c(X_2), c(X_4),  OffShell A(V_1), Vertex V_0:d(X_1), d(X_3),  OffShell A(V_0),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s_del_3349 gamma_lor_spi c_del_3349_pu c_spi_0_pu_star d_spi_1_pu_star d_spi_2_pu + + mass_d_sq NEG s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2
d alpha (X)^(*) AntiPart c eps (X) to d eta (X) AntiPart c alpha (X)^(*),"Vertex V_1:AntiPart c(X_2), AntiPart c(X_4),  OffShell A(V_1), Vertex V_0:d(X_1), d(X_3),  OffShell A(V_0),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s_del_3388 gamma_lor_spi_del c_spi_0_pv_star c_del_3388_pv d_spi_1_pu_star d_del_3389_pu + + mass_d_sq NEG s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2
AntiPart d eps (X) c eta (X)^(*) to AntiPart d alpha (X)^(*) c beta (X),"Vertex V_1:c(X_2), c(X_4),  OffShell A(V_1), Vertex V_0:AntiPart d(X_1), AntiPart d(X_3),  OffShell A(V_0),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s b_spi gamma_lor_spi c_spi_0_pu_star c_b_spi_pu d_spi_1_pv_star d_spi_2_pv + + mass_d_sq NEG s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2
AntiPart d eps (X) AntiPart c eps (X) to AntiPart d eta (X)^(*) AntiPart c alpha (X)^(*),"Vertex V_1:AntiPart c(X_2), AntiPart c(X_4),  OffShell A(V_1), Vertex V_0:AntiPart d(X_1), AntiPart d(X_3),  OffShell A(V_0),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s_del_3450 gamma_lor_spi c_spi_0_pv_star c_del_3450_pv d_spi_1_pv_star d_spi_2_pv + + mass_d_sq NEG s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2
d alpha (X)^(*) b beta (X)^(*) to d gam (X) b del (X),"Vertex V_1:b(X_2), b(X_4),  OffShell A(V_1), Vertex V_0:d(X_1), d(X_3),  OffShell A(V_0),",+ * * * NEG 1/18 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi_del b_spi_2_pu_star b_del_4357_pu d_spi_0_pu_star d_spi_1_pu + + mass_d_sq NEG s * 1/2 reg_prop,* * * 1/324 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2
d alpha (X)^(*) AntiPart b eps (X) to d eta (X) AntiPart b alpha (X)^(*),"Vertex V_1:AntiPart b(X_2), AntiPart b(X_4),  OffShell A(V_1), Vertex V_0:d(X_1), d(X_3),  OffShell A(V_0),",+ * * * NEG 1/18 i ^ e_2 gamma / * * * * * lor_0 s_del_4402 gamma_lor_spi_del b_del_4403_pv b_spi_1_pv_star d_spi_0_pu_star d_del_4402_pu + + mass_d_sq NEG s * 1/2 reg_prop,* * * 1/324 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2
AntiPart d eps (X) b eta (X)^(*) to AntiPart d alpha (X)^(*) b beta (X),"Vertex V_1:b(X_2), b(X_4),  OffShell A(V_1), Vertex V_0:AntiPart d(X_1), AntiPart d(X_3),  OffShell A(V_0),",+ * * * NEG 1/18 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi_del b_spi_2_pu_star b_del_4456_pu d_spi_1_pv d_spi_0_pv_star + + mass_d_sq NEG s * 1/2 reg_prop,* * * 1/324 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2
