Interaction,Feynman Diagram,Amplitude,Squared Amplitude,domain
AntiPart tt del (X) AntiPart tau (X) to AntiPart tt alpha (X)^(*) AntiPart mu (X),"Vertex V_1:AntiPart tt(X_1), A(X_4), AntiPart  OffShell tt(V_1), Vertex V_0:A(X_2), AntiPart tt(X_3),  OffShell tt(V_0),",/ * * * NEG 4/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt_del_4617_pv tt s_pv_star * * * * NEG 1/2 p_lor_2 gamma_lor_spi_del gamma_lor_spi gamma * lor_2 s s_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt_del_4619_pv tt s_pv_star + s * NEG 1/2 reg_prop,+ * * * * 32/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 64/81 i ^ e_2 + / * * * i ^ e_2 ^ m_tt_2 + ^ m_tt_2 * NEG 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ m_tt_2 + * 16 s_s * NEG 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop,qed
AntiPart mu gam (X) t del (X)^(*) to AntiPart mu eps (X)^(*) t eta (X),"Vertex V_0:AntiPart mu(X_1), AntiPart mu(X_3),  OffShell A(V_0), Vertex V_1:t(X_2), t(X_4),  OffShell A(V_1),",+ * * * NEG 1/2 i ^ e_2 gamma / * * * * * lor_0 s alpha_856 gamma_lor_spi t_spi_1_pu_star t_spi_2_pu mu_spi_0_pv_star mu_alpha_856_pv + + mass_mu_sq NEG s * 1/2 reg_prop,* * * 1/4 ^ e_4 + + + + * * 16 ^ 2 ^ m_mu_2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ m_mu_2 s_s * * 8 s_s s_s ^ + + ^ m_mu_2 NEG s_s * 1/2 reg_prop NEG 2,qed
AntiPart d alpha (X) b nu (X) to AntiPart d beta (X)^(*) AntiPart c lambda (X),"Vertex V_1:AntiPart d(X_1), G(X_4), AntiPart  OffShell d(V_1), Vertex V_0:G(X_2), AntiPart d(X_3),  OffShell d(V_0),",/ * * NEG i ^ g_2 + + + + + + * * * * p_lor gamma_lor_spi b_spi_T_2_col_idx_idx_3_idx_idx_7 T_2_col_idx_idx_6_idx_idx_3_idx_6_col * lor p_idx_6_col_col * * lor p_star d_col_idx_6_spi_pv_star d_col_idx_idx_7 b_spi_pv * * * * NEG 1/2 p_lor gamma_lor_spi b_spi_gamma_lor_spi gamma * * * lor_spi_spi T_2_col_idx_idx_3_idx_idx_7 T_2_col_idx_idx_6_idx_idx_3_idx_6_col * lor p_idx_6_col_col * * lor p_star d_col_idx_6_spi_pv_star d_col_idx_idx_7 b_spi_pv + s * NEG 1/2 reg_prop,+ * * * * 4/9 ^ g_4 s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 8/9 i ^ g_2 + / * * * i ^ g_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ g_2 ^ 2 + * 16 s_s * NEG 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop,qcd
u alpha (X)^(*) AntiPart d eps (X) to u eta (X) AntiPart d alpha (X)^(*),"Vertex V_1:AntiPart d(X_2), AntiPart d(X_4),  OffShell G(V_1), Vertex V_0:u(X_1), u(X_3),  OffShell G(V_0),",+ * * * NEG 1/4 i ^ g_2 gamma / * * lor_spi_del_col gamma_lor_spi_col + * * * d_idx_1_spi_pv_star d_col Gdel_col_pv_u_col_idx_1_del_col_pu_u_col_idx_6_spi_pu_star * * * * NEG 1/3 d_idx_7_spi_pv_star d_col_idx_7_del_col_pv_u_col Gdel_col_pu_u_col_idx_6_spi_pu_star + + mass_u_sq NEG s * 1/2 reg_prop,+ * * * NEG 1/144 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2 / * * * 1/16 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * 32/9 i ^ g_2 + + + + * ^ 2 ^ 2 * * NEG 1/2 ^ 2 s_s * * 1/2 s_s * * NEG 1/2 ^ 2 s_s * * 1/2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop + + ^ 2 NEG s_s * 1/2 reg_prop,qcd
d gam (X)^(*) AntiPart d del (X) to s eps (X) AntiPart s eta (X)^(*),"Vertex V_0:s(X_3), AntiPart s(X_4),  OffShell G(V_0), Vertex V_1:d(X_1), AntiPart d(X_2),  OffShell G(V_1),",+ * * * NEG 1/4 i ^ g_2 gamma / * * lor_spi_spi gamma_lor_spi_col + * * * d_col_idx_6_spi_pu_d_idx_7_spi_pv_star s s_idx_7_del_col_pv * * * * NEG 1/3 d_col_idx_3_spi_pu_d_idx_3_spi_pv_star s s_idx_7_del_col_pv + + mass_d_sq s * 1/2 reg_prop,+ * * * NEG 1/144 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2 / * * * 1/16 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * 32/9 i ^ g_2 + + + + * ^ 2 ^ 2 * * 1/2 ^ 2 s_s * * 1/2 s_s * * 1/2 s_s * * 1/2 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop + + ^ 2 s_s * 1/2 reg_prop,qcd
b gam (X)^(*) AntiPart b del (X) to s eps (X) AntiPart s eta (X)^(*),"Vertex V_0:s(X_3), AntiPart s(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1),",+ * * * NEG 1/18 i ^ e_2 gamma / * * * * * lor_0 s b_spi gamma_lor_spi b_spi_1_pu b_spi_2_pv_star s s_star + + mass_b_sq s * 1/2 reg_prop,* * * 1/324 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2,qed
c gam (X)^(*) AntiPart c del (X) to s eps (X) AntiPart s eta (X)^(*),"Vertex V_0:s(X_3), AntiPart s(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart c(X_2),  OffShell A(V_1),",+ * * * * 1/9 i ^ e_2 gamma_lor_spi b_spi gamma / * * * * lor_0 s s c_spi_1_pu c_spi_0_pv_star s s_star + + mass_c_sq s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2,qed
AntiPart t gam (X) AntiPart d gam (X) to AntiPart t del (X)^(*) AntiPart d eps (X)^(*),"Vertex V_1:AntiPart d(X_2), AntiPart d(X_4),  OffShell A(V_1), Vertex V_0:AntiPart t(X_1), AntiPart t(X_3),  OffShell A(V_0),",+ * * * * NEG 1/6 i ^ e_2 gamma_lor_spi_del gamma / * * * * lor_0 s_del_2172 d_spi_0_pv_star d_del_2172_pv t_del_2171_pv t_spi_1_pv_star + + mass_t_sq NEG s * 1/2 reg_prop,* * * 1/36 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
AntiPart u eps (X) c eta (X)^(*) to AntiPart u alpha (X)^(*) c beta (X),"Vertex V_0:c(X_2), c(X_4),  OffShell G(V_0), Vertex V_1:AntiPart u(X_1), AntiPart u(X_3),  OffShell G(V_1),",+ * * * 1/12 i ^ g_2 gamma / * * lor_spi_del_col gamma_lor_spi + * * * col_idx_7_spi_pu_star_idx_7_del_col_pu_u_col_idx_1_spi_pv_star u_col_idx_1_spi_pv * * * * NEG 3_col idx_1_spi_pu_star Gdel_col_pu_u_col_idx_6_spi_pv_star u_col_idx_1_spi_pv + + mass_u_sq NEG s * 1/2 reg_prop,+ * * * NEG 1/16 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2 / * * * 1/144 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * 32 i ^ g_2 + + + + * ^ 2 ^ 2 * * NEG 1/2 ^ 2 s_s * * 1/2 s_s * * NEG 1/2 ^ 2 s_s * * 1/2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop + + ^ 2 NEG s_s * 1/2 reg_prop,qcd
AntiPart u eps (X) s eta (X)^(*) to AntiPart u alpha (X)^(*) s beta (X),"Vertex V_1:s(X_2), s(X_4),  OffShell G(V_1), Vertex V_0:AntiPart u(X_1), AntiPart u(X_3),  OffShell G(V_0),",+ * * * NEG 1/4 i ^ g_2 gamma / * * lor_spi_spi gamma_lor_spi_col + * * * s s u_col_idx_4_spi_pv * * * * NEG 1/3 s s u_col_idx_4_spi_pv + + mass_u_sq NEG s * 1/2 reg_prop,+ * * * NEG 1/144 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2 / * * * 1/16 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * 32/9 i ^ g_2 + + + + * ^ 2 ^ 2 * * NEG 1/2 ^ 2 s_s * * 1/2 s_s * * NEG 1/2 ^ 2 s_s * * 1/2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop + + ^ 2 NEG s_s * 1/2 reg_prop,qcd
AntiPart b eta (X) tau (X) to AntiPart b alpha (X)^(*) mu (X),"Vertex V_1:AntiPart b(X_3), A(X_4),  OffShell b(V_1), Vertex V_0:A(X_2), AntiPart b(X_1), AntiPart  OffShell b(V_0),",/ * * * 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_del_2319_pv b_spi_0_pv_star * * 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_del_2321_pv b_spi_3_pv_star + s * 1/2 reg_prop,+ * * * * 2/81 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 4/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ 2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop,qed
c eps (X)^(*) AntiPart c eta (X) to sigma (X) AntiPart lambda (X),"Vertex V_0:AntiPart c(X_2), A(X_3), AntiPart  OffShell c(V_0), Vertex V_1:c(X_1), A(X_4),  OffShell c(V_1),",/ * * * 4/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * ^ lor_1 p * c_spi_0_pv_star c_spi_1_pu * * * NEG 1/2 p_lor_2 gamma_lor_spi gamma * * lor_2 s s gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * ^ lor_1 p * c_spi_4_pv_star c_spi_5_pu + s * NEG 1/2 reg_prop,+ * * * * 16/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * 32/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ 2 + * 16 s_s * 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop,qed
c gam (X)^(*) AntiPart b alpha (X) to c beta (X) AntiPart b gam (X)^(*),"Vertex V_1:AntiPart b(X_2), AntiPart b(X_4),  OffShell G(V_1), Vertex V_0:c(X_1), c(X_3),  OffShell G(V_0),",+ * * * * NEG 1/4 i ^ g_2 gamma_lor_spi gamma / * lor_spi_spi + * * * idx_5_spi_pv_star_col_idx_6_spi_pv_col_idx_5_spi_pu_col_idx_6_spi_pu_star * * * * NEG 1/3 idx_7_spi_pv_star_col_idx_7_spi_pv_col_idx_6_spi_pu_col_idx_6_spi_pu_star + + mass_c_sq NEG s * 1/2 reg_prop,+ * * * NEG 1/144 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2 / * * * 1/16 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * 32/9 i ^ g_2 + + + + * ^ 2 ^ 2 * * NEG 1/2 ^ 2 s_s * * 1/2 s_s * * NEG 1/2 ^ 2 s_s * * 1/2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop + + ^ 2 NEG s_s * 1/2 reg_prop,qcd
s eps (X)^(*) AntiPart s eta (X) to u alpha (X) AntiPart u beta (X)^(*),"Vertex V_0:u(X_3), AntiPart u(X_4),  OffShell G(V_0), Vertex V_1:s(X_1), AntiPart s(X_2),  OffShell G(V_1),",+ * * * * NEG 1/4 i ^ g_2 gamma_lor_spi gamma / * lor_spi_spi + * * * s s u_col_idx_3_spi_pv * * * * NEG 1/3 s s u_col_idx_3_spi_pv + + mass_s_sq s * 1/2 reg_prop,+ * * * NEG 1/144 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2 / * * * 1/16 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * NEG 8 s_s * * NEG 8 s_s * * NEG 8 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop / * * * 32/9 i ^ g_2 + + + + * ^ 2 ^ 2 * * 1/2 ^ 2 s_s * * 1/2 s_s * * 1/2 s_s * * 1/2 ^ 2 s_s + + ^ 2 s_s * 1/2 reg_prop + + ^ 2 s_s * 1/2 reg_prop,qcd
b alpha (X)^(*) AntiPart b beta (X) to u gam (X) AntiPart u del (X)^(*),"Vertex V_0:u(X_3), AntiPart u(X_4),  OffShell A(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell A(V_1),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi b_spi_2_pv_star b_spi_3_pu u_spi_1_pv u_spi_0_pu_star + + mass_b_sq s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2,qed
u eps (X)^(*) AntiPart u eta (X) to d alpha (X) AntiPart d beta (X)^(*),"Vertex V_1:d(X_3), AntiPart d(X_4),  OffShell A(V_1), Vertex V_0:u(X_1), AntiPart u(X_2),  OffShell A(V_0),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s alpha_291 gamma_lor_spi_del d_spi_1_pu_star d_del_320_pv u_alpha_291_pu u_spi_0_pv_star + + mass_u_sq s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2,qed
AntiPart u del (X) lambda (X) to AntiPart u eps (X)^(*) AntiPart lambda (X),"Vertex V_0:AntiPart u(X_1), A(X_4), AntiPart  OffShell u(V_0), Vertex V_1:A(X_2), AntiPart u(X_3),  OffShell u(V_1),",/ * * * NEG 4/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p u_spi_0_pv_star u_spi_1_pv * * * NEG 1/2 p_lor_2 gamma_lor_spi gamma * * lor_2 s s gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p u_spi_4_pv_star u_spi_5_pv + s * NEG 1/2 reg_prop,+ * * * * 32/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 64/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ 2 + * 16 s_s * NEG 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop,qed
u gam (X)^(*) AntiPart c alpha (X) to u beta (X) AntiPart c gam (X)^(*),"Vertex V_1:AntiPart c(X_2), AntiPart c(X_4),  OffShell A(V_1), Vertex V_0:u(X_1), u(X_3),  OffShell A(V_0),",+ * * * * NEG 2/9 i ^ e_2 gamma_lor_spi gamma / * * * * lor_0 s s c_spi_0_pv_star c_spi_1_pv u_spi_2_pu_star u_spi_3_pu + + mass_u_sq NEG s * 1/2 reg_prop,* * * 4/81 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
e gam (X)^(*) AntiPart e del (X) to b eps (X) AntiPart b eta (X)^(*),"Vertex V_1:b(X_3), AntiPart b(X_4),  OffShell A(V_1), Vertex V_0:e(X_1), AntiPart e(X_2),  OffShell A(V_0),",+ * * * NEG 1/6 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi_del b_del_594_pv b_spi_2_pu_star e_spi_1_pu e_spi_0_pv_star + + mass_e_sq s * 1/2 reg_prop,* * * 1/36 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2,qed
tau (X) AntiPart mu (X) to t alpha (X) AntiPart t beta (X)^(*),"Vertex V_1:A(X_2), AntiPart t(X_4),  OffShell t(V_1), Vertex V_0:A(X_1), t(X_3), AntiPart  OffShell t(V_0),",/ * * * 1/2 i ^ e_2 + + + + + + * p_lor_0 gamma * * * lor_0 s s gamma_lor_spi gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * lor_2 p t_spi_2_pu_star t_del_608_pv * * * NEG 2 p_lor_1 gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * lor_2 p t_spi_3_pu_star t_del_613_pv + s * NEG 1/2 reg_prop,+ * * * * 2 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 2 i ^ e_2 + / * * * i ^ e_2 ^ 2 + s_s * 2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 2 i ^ e_2 ^ 2 + ^ 2 * 1/2 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop,qed
d gam (X)^(*) AntiPart t alpha (X) to d beta (X) AntiPart t gam (X)^(*),"Vertex V_0:AntiPart t(X_2), AntiPart t(X_4),  OffShell G(V_0), Vertex V_1:d(X_1), d(X_3),  OffShell G(V_1),",+ * * * * NEG 1/4 i ^ g_2 gamma_lor_spi gamma / * lor_spi_spi + * * * d_col_idx_7_spi_pu_d_col_idx_2_spi_pu_star t_col_idx_2_spi_pv_t_idx_7_spi_pv_star * * * * NEG 1/3 d_col_idx_3_spi_pu_d_col_idx_3_spi_pu_star t_col_idx_7_spi_pv_t_idx_7_spi_pv_star + + mass_d_sq NEG s * 1/2 reg_prop,+ * * * NEG 1/144 ^ g_4 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2 / * * * 1/16 i ^ g_2 + / * * i ^ g_2 + + + + * * NEG 16 ^ 2 ^ 2 * * 8 ^ 2 s_s * * NEG 8 s_s * * 8 ^ 2 s_s * * NEG 8 s_s + + ^ 2 NEG s_s * 1/2 reg_prop / * * * 32/9 i ^ g_2 + + + + * ^ 2 ^ 2 * * NEG 1/2 ^ 2 s_s * * 1/2 s_s * * NEG 1/2 ^ 2 s_s * * 1/2 s_s + + ^ 2 NEG s_s * 1/2 reg_prop + + ^ 2 NEG s_s * 1/2 reg_prop,qcd
e alpha (X)^(*) rho (X) to e beta (X) AntiPart rho (X),"Vertex V_1:A(X_2), e(X_3), AntiPart  OffShell e(V_1), Vertex V_0:e(X_1), A(X_4),  OffShell e(V_0),",/ * * i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * e_spi_0_pu_star e_del_9294_pu * * * * NEG 1/2 p_lor_2 gamma_lor_spi_del gamma_lor_spi gamma * lor_2 s s_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * e_spi_3_pu_star e_del_9296_pu + s * NEG 1/2 reg_prop,+ * * * * 2 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 4 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ 2 + * 16 s_s * NEG 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop,qed
c eps (X)^(*) b eta (X)^(*) to c alpha (X) b beta (X),"Vertex V_1:b(X_2), b(X_4),  OffShell A(V_1), Vertex V_0:c(X_1), c(X_3),  OffShell A(V_0),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s alpha_1393 gamma_lor_spi_del b_del_1365_pu b_spi_1_pu_star c_spi_0_pu_star c_alpha_1393_pu + + mass_c_sq NEG s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
e alpha (X)^(*) AntiPart mu eps (X) to e eta (X) AntiPart mu alpha (X)^(*),"Vertex V_1:AntiPart mu(X_2), AntiPart mu(X_4),  OffShell A(V_1), Vertex V_0:e(X_1), e(X_3),  OffShell A(V_0),",+ * * * NEG 1/2 i ^ e_2 gamma / * * * * * lor_0 s_del_813 gamma_lor_spi_del e_del_814_pu e_spi_1_pu_star mu_spi_0_pv_star mu_del_813_pv + + mass_e_sq NEG s * 1/2 reg_prop,* * * 1/4 ^ e_4 + + + + * * 16 ^ 2 ^ m_mu_2 * * NEG 8 ^ m_mu_2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
rho (X) AntiPart sigma (X) to c gam (X) AntiPart c del (X)^(*),"Vertex V_0:A(X_2), c(X_3), AntiPart  OffShell c(V_0), Vertex V_1:A(X_1), AntiPart c(X_4),  OffShell c(V_1),",/ * * * NEG 2/9 i ^ e_2 + + + + + + * * * p_lor_0 gamma_lor_spi_del gamma_lor_spi gamma * lor_0 s s_idx_0 * lor_1 p_idx_0 * * lor_2 p c_del_1607_pv c_spi_2_pu_star * * * NEG 2 p_lor_1 gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * lor_2 p c_del_1610_pv c_spi_3_pu_star + s * NEG 1/2 reg_prop,+ * * * * 32/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 4/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + * 16 s_s * 8 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 16 i ^ e_2 ^ 2 + ^ 2 * 1/2 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop,qed
s gam (X)^(*) sigma (X) to s del (X) lambda (X),"Vertex V_0:s(X_3), A(X_4), AntiPart  OffShell s(V_0), Vertex V_1:s(X_1), A(X_2),  OffShell s(V_1),",/ * * * NEG 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * s_star s * * 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * s_star s + s * 1/2 reg_prop,+ * * * * 2/81 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 4/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ 2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop,qed
e alpha (X)^(*) AntiPart u eps (X) to e eta (X) AntiPart u alpha (X)^(*),"Vertex V_1:AntiPart u(X_2), AntiPart u(X_4),  OffShell A(V_1), Vertex V_0:e(X_1), e(X_3),  OffShell A(V_0),",+ * * * 1/3 i ^ e_2 gamma / * * * * * lor_0 s_del_2860 gamma_lor_spi_del e_del_2861_pu e_spi_1_pu_star u_spi_0_pv_star u_del_2860_pv + + mass_e_sq NEG s * 1/2 reg_prop,* * * 1/9 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
